penalty_id,race_id,driver_id,penalty_type,penalty_points,description
1,1746,619,Stop-and-go,0,Subject various pay service require live product.
2,2245,945,Time Penalty,2,Issue table include word.
3,1070,2820,Stop-and-go,7,Resource political record.
4,2838,2781,Stop-and-go,0,Game dog within amount.
5,519,582,Time Penalty,7,Same again national former never style.
6,2456,1611,Time Penalty,8,Send data so common.
7,1129,641,Stop-and-go,7,Ahead lot beat bit accept.
8,1051,2060,Time Penalty,1,Cause relationship building pressure product throughout.
9,2140,2483,Stop-and-go,6,Class about age answer lot guy.
10,1714,2955,Stop-and-go,7,Drop water along.
11,601,2512,Drive-through,0,During the father.
12,2490,2886,Drive-through,10,Fill born keep experience.
13,1599,1205,Time Penalty,0,Develop anything often glass authority how again.
14,573,1325,Stop-and-go,3,Society painting program realize.
15,1188,983,Time Penalty,9,Outside campaign program teacher late test.
16,1307,1305,Drive-through,4,Teacher professional training easy.
17,2197,29,Stop-and-go,5,Herself expect likely although while media.
18,1272,1797,Stop-and-go,7,Sell certain letter magazine home condition.
19,2002,1622,Drive-through,10,Method note step animal while.
20,183,440,Stop-and-go,2,Serious happen around.
21,1792,173,Time Penalty,6,Program management grow view human drive including.
22,2445,1663,Stop-and-go,10,Answer level Congress page table.
23,2565,2900,Drive-through,10,May evening middle conference others.
24,809,117,Time Penalty,4,Be down about moment rest head.
25,914,249,Stop-and-go,3,Admit loss beautiful bad from party.
26,1645,646,Stop-and-go,9,Nothing instead door score eat word also.
27,2594,1371,Time Penalty,5,Exactly indeed many method.
28,768,104,Time Penalty,7,Point information medical.
29,2510,662,Drive-through,9,Lead white set line training wish fine.
30,1973,2764,Stop-and-go,4,Image politics positive eat head group scene strategy.
31,1015,1573,Time Penalty,9,Lead memory bed magazine so early enough.
32,71,703,Stop-and-go,0,Congress ball join example.
33,2165,362,Drive-through,9,Statement rule gas western interesting help music.
34,1159,2016,Time Penalty,6,Industry either positive clearly evening.
35,612,2728,Stop-and-go,9,If side would question international few.
36,2980,950,Time Penalty,2,Table truth like card gas entire.
37,6,932,Drive-through,10,Generation ready agree answer.
38,2138,1974,Drive-through,10,Light pay cold quite whose southern.
39,2056,2125,Time Penalty,8,Time boy rich.
40,1850,2358,Time Penalty,10,Tax difficult show more she place fund.
41,2747,939,Stop-and-go,8,Space should series page.
42,535,2331,Drive-through,4,Like hear trip detail detail.
43,2940,263,Time Penalty,8,Never trip writer.
44,2405,1450,Stop-and-go,1,Pay yeah for response weight.
45,2503,1003,Stop-and-go,9,Around local pull defense seek near.
46,917,1627,Drive-through,6,Argue life Congress police foreign speak.
47,2248,366,Stop-and-go,3,Whom group type support miss walk.
48,445,1767,Stop-and-go,9,Like play television boy speak.
49,2607,1885,Stop-and-go,3,Central next talk.
50,1943,1502,Drive-through,10,Rise of smile field main money positive.
51,1559,723,Time Penalty,8,Around each PM total sense space kid.
52,1315,351,Drive-through,6,School gun involve door be former nice.
53,1858,955,Drive-through,3,Outside central society left attorney financial cell environmental.
54,2272,1122,Time Penalty,2,Peace attention manager probably such point.
55,2118,2409,Stop-and-go,5,Land strategy away somebody news just include difference.
56,279,367,Stop-and-go,3,His care edge approach.
57,203,2686,Time Penalty,10,Bit finally doctor still that nothing nor send.
58,1859,2882,Time Penalty,5,Control drug trouble ok point I attorney image.
59,1709,2967,Drive-through,7,Court technology west health wind draw.
60,1876,803,Time Penalty,1,Than agent factor world political popular get.
61,2900,1906,Stop-and-go,8,Here soon question catch.
62,599,2079,Time Penalty,8,Political industry recently agent rather without.
63,372,533,Drive-through,10,Maintain no she lose.
64,2580,692,Stop-and-go,8,Thank cell five least approach walk grow control.
65,1553,261,Time Penalty,1,Simply blue ask north.
66,2139,166,Time Penalty,2,Down reveal arrive evidence detail whether space.
67,2004,2826,Drive-through,0,Happen necessary effect everything.
68,2823,1461,Stop-and-go,10,Message loss hair director.
69,2595,1605,Stop-and-go,10,Language until suggest base.
70,2716,52,Drive-through,10,Somebody hard animal defense current.
71,1205,259,Drive-through,1,Carry every paper sign why huge owner.
72,2529,1415,Stop-and-go,6,Heart ball paper customer Congress.
73,925,2163,Drive-through,7,Physical break minute break carry.
74,1665,1177,Time Penalty,2,Bed after them campaign there task.
75,366,675,Drive-through,5,Group able sure play friend.
76,37,1636,Stop-and-go,5,Newspaper anything lead say fly the thank wish.
77,2536,2175,Drive-through,10,Trip away high take general.
78,2152,242,Drive-through,6,Eight late no reality development open.
79,1817,2594,Drive-through,4,Ground police near book benefit growth far.
80,443,731,Drive-through,4,Nation sing here business point question officer religious.
81,670,1247,Drive-through,6,Development statement yes state true no.
82,383,231,Drive-through,0,Mother least time able us despite now.
83,240,468,Time Penalty,0,Painting collection show focus data current.
84,1914,28,Time Penalty,7,Guy few my cost happen artist boy main.
85,1116,2810,Time Penalty,10,Politics which item others every teach process.
86,2773,1207,Drive-through,8,Left yard individual drive.
87,454,2339,Drive-through,0,Up budget value writer rise employee.
88,1898,1963,Drive-through,0,Individual finally miss other let better question daughter.
89,1550,2611,Time Penalty,3,While message nice institution meet home cause.
90,1092,1096,Drive-through,4,From work land seat see.
91,2747,1078,Time Penalty,8,These close east least among set life.
92,1121,1909,Drive-through,6,Determine hour eat garden.
93,2510,1193,Stop-and-go,5,Article would which live land.
94,794,1387,Stop-and-go,9,Reveal reveal trouble yourself.
95,1118,731,Drive-through,7,Image those happy information including recent.
96,1424,2472,Time Penalty,7,People seven voice.
97,2169,1042,Drive-through,10,As long community early.
98,1032,2020,Stop-and-go,1,Who gas language international.
99,1283,619,Stop-and-go,4,Better own firm.
100,7,777,Stop-and-go,7,Himself doctor agree director picture I.
101,1127,1466,Stop-and-go,1,Through particular cost north station nor.
102,385,2380,Stop-and-go,0,Order test push tax economic yes oil.
103,1737,1822,Time Penalty,0,Would even assume memory what security different.
104,323,1183,Time Penalty,5,Song lot of gas.
105,80,1518,Drive-through,9,Summer another available back customer activity under.
106,2146,822,Time Penalty,6,Floor agent contain.
107,1204,1122,Time Penalty,6,It south toward artist minute begin lot during.
108,2374,996,Time Penalty,4,Event situation walk.
109,1733,1427,Drive-through,9,Institution at former game must red floor.
110,2715,2000,Time Penalty,8,Another admit back ok visit.
111,1557,88,Stop-and-go,9,Year reach show game institution.
112,883,2641,Drive-through,8,War about save life each get student.
113,2901,425,Drive-through,1,Set idea night between.
114,772,483,Time Penalty,8,Process fly ok born.
115,2227,533,Drive-through,10,Section your father pull official.
116,2490,1287,Time Penalty,7,Apply impact yes.
117,2290,2065,Time Penalty,1,Watch at name call safe dark.
118,2951,1733,Drive-through,3,Event debate those yes concern they.
119,631,2350,Time Penalty,0,Successful husband wear address child put discuss.
120,1206,2947,Time Penalty,10,Goal decide magazine general born too show.
121,2214,1115,Drive-through,0,Couple tonight take society part.
122,2355,1502,Time Penalty,8,Word water partner score stock.
123,1089,1082,Time Penalty,10,Yeah us culture trip star south near positive.
124,2143,1409,Stop-and-go,4,Carry business assume lot whatever.
125,1991,324,Drive-through,5,Coach daughter head too smile information many let.
126,2549,977,Drive-through,4,Bill matter through everybody suddenly same discover.
127,1336,2133,Stop-and-go,4,Of join art feel sing cause on other.
128,1369,372,Stop-and-go,1,Choice total new ever quality shake.
129,611,62,Stop-and-go,5,Free let yard use him seem.
130,122,326,Time Penalty,9,Year speech challenge blue of speak.
131,669,1839,Drive-through,5,Carry land wind their.
132,1399,1330,Time Penalty,8,Hard discover billion actually professional discover particular.
133,706,309,Drive-through,6,Church force know team.
134,2234,2045,Time Penalty,4,Area option ready population night same rather.
135,1,348,Drive-through,8,Finally record market water tough most nor.
136,1782,1644,Stop-and-go,4,Place center positive and issue character prove.
137,1604,687,Time Penalty,8,Middle firm increase floor.
138,2398,1979,Time Penalty,4,Network gas opportunity father miss.
139,734,711,Time Penalty,4,Both ago choose student spring.
140,821,830,Time Penalty,4,Black TV feeling anything break.
141,2629,56,Stop-and-go,8,Support them see build some audience develop.
142,2998,1746,Time Penalty,7,Degree part enjoy simple something smile human.
143,2647,1792,Time Penalty,1,Result worker student guy significant cause evidence.
144,2495,2618,Stop-and-go,4,Hundred ok heavy.
145,623,2681,Time Penalty,6,Fight provide here officer his.
146,2252,1983,Time Penalty,5,Free blood night series the.
147,2293,2727,Drive-through,9,National yet yeah particular country member college.
148,264,635,Drive-through,5,Score however nearly onto just.
149,2513,1255,Drive-through,2,Kid ball official while animal issue American.
150,2907,2437,Drive-through,4,Everyone hear see window.
151,764,300,Time Penalty,10,Federal sort mean buy catch service how.
152,1227,1913,Drive-through,8,Debate structure marriage.
153,1498,1524,Drive-through,4,Sort hard cost number key edge.
154,864,977,Drive-through,8,Movement family property computer people reveal inside.
155,1974,2753,Drive-through,5,Successful center base discuss themselves summer.
156,688,2710,Time Penalty,5,Season three standard pay down behavior.
157,2533,708,Drive-through,8,Professor participant reflect seat family audience.
158,1939,2361,Drive-through,2,Particularly certain fall success.
159,437,699,Time Penalty,0,His major fly get thousand seven.
160,1998,1153,Stop-and-go,10,Write finally catch though very common.
161,922,1955,Time Penalty,3,Ball big toward including subject.
162,2975,1687,Time Penalty,0,Answer week clear new level act must red.
163,2017,2691,Stop-and-go,10,Budget quickly truth response fall.
164,1558,2351,Stop-and-go,10,Should often off easy cup seat bring.
165,2336,2668,Stop-and-go,7,Certainly prevent movie.
166,2144,2688,Time Penalty,4,Summer theory race laugh build list.
167,1642,1434,Stop-and-go,10,Mission father method point.
168,249,1852,Stop-and-go,10,Cause identify result side knowledge letter talk image.
169,169,192,Time Penalty,1,Expect arm trade record ever.
170,411,625,Drive-through,7,Across medical low adult town pretty about consider.
171,2487,1879,Drive-through,7,Us down health opportunity use official.
172,2370,1965,Time Penalty,7,Cost pass same article source almost team.
173,258,1780,Stop-and-go,0,Science garden field garden thing if however anyone.
174,2398,395,Drive-through,10,Within think describe least leave analysis work.
175,2403,1176,Time Penalty,2,Us million hope lay current focus rest.
176,487,2031,Drive-through,3,Baby sort tell.
177,2564,1164,Stop-and-go,6,Surface weight clear.
178,320,2681,Time Penalty,5,Mission poor require somebody miss fact large.
179,2575,2780,Drive-through,6,Very everybody pick field us.
180,666,125,Stop-and-go,7,Prepare trouble international actually since system stage.
181,2268,305,Drive-through,0,Begin least series season while.
182,2545,2587,Time Penalty,6,Probably behavior view soldier buy.
183,1531,2970,Drive-through,4,Door finally six let.
