team_id,team_name,base_location
1,Kelly-Donaldson Racing,North Donna
2,Silva LLC Racing,South Wanda
3,Armstrong Inc Racing,Schmidtfort
4,Brown LLC Racing,New Andre
5,Evans Inc Racing,Jonesbury
6,"Garcia, Campbell and Blair Racing",South Angelicashire
7,Jackson LLC Racing,Jillborough
8,"Wu, Davis and Reyes Racing",East Kimberlychester
9,"Olson, Nelson and Ayala Racing",North Nicholas
10,"Newman, Brown and Dominguez Racing",New Sheilashire
11,Thornton PLC Racing,Jillview
12,Bailey-Smith Racing,Port Christopher
13,"Duarte, Hartman and Lee Racing",Carolynbury
14,Yates LLC Racing,New Taylorside
15,Johnson Ltd Racing,North Kimberlyshire
16,Cortez Inc Racing,North Thomas
17,Mcintyre Inc Racing,South Georgeland
18,Simmons-Pena Racing,Chelsealand
19,Watkins-Martin Racing,North Troy
20,Glover PLC Racing,West Craig
21,Jackson PLC Racing,West Edwardshire
22,Atkinson-Flores Racing,East John
23,"Gibbs, Chase and Mullins Racing",Port Shelby
24,"Pugh, Harrison and Roberts Racing",Grayville
25,"Wise, King and Obrien Racing",Lawsonberg
26,Mills-Flores Racing,Fisherburgh
27,"Griffin, Banks and Downs Racing",Williamsland
28,Miller-Ramos Racing,Heatherburgh
29,Smith Group Racing,Wolfeland
30,"Lucas, Barton and Lee Racing",West Jason
31,"Baker, Potter and White Racing",Blackside
32,Davis-Franklin Racing,Jenniferton
33,Wheeler-Russell Racing,West Kimberly
34,Meadows-Cain Racing,West Chloehaven
35,Ochoa-Flores Racing,Annafort
36,Johnson-Evans Racing,East Gary
37,"Krause, Banks and Sanders Racing",Floresside
38,Adkins-Gilbert Racing,Mcculloughside
39,Sherman-Cherry Racing,Delgadostad
40,Andrews-Miranda Racing,Benjaminmouth
41,Simmons-Pope Racing,East Curtis
42,"Kramer, Harding and Massey Racing",Ruizberg
43,Parker-Clark Racing,South Migueltown
44,Bowen-Chen Racing,Andreaborough
45,Irwin-Wilkinson Racing,North Hannah
46,"Hodges, Hicks and Baker Racing",Coffeychester
47,"Knight, Young and Torres Racing",Jamestown
48,Williams-Lambert Racing,Melissaport
49,Alvarez-Ruiz Racing,Lake Shawn
50,Stanley and Sons Racing,New Lisabury
51,"Stewart, Santos and Stanley Racing",Penaside
52,"Williams, Meadows and Bradley Racing",South James
53,Gonzales Group Racing,North Thomasport
54,Reyes-Winters Racing,Ginashire
55,Castaneda Group Racing,Murphyport
56,"Miller, Robinson and Hester Racing",Holdershire
57,"Banks, Vasquez and Lewis Racing",West Kimberly
58,Lopez-Moore Racing,Port Amandaport
59,Reynolds and Sons Racing,West Jose
60,Price-Burns Racing,Chanchester
61,Williams and Sons Racing,Robertton
62,Terry and Sons Racing,Port Donna
63,"Duncan, Manning and Flores Racing",Dannyville
64,"Gray, Mcneil and Snyder Racing",South Joseland
65,Hancock-Ferguson Racing,Lake Connie
66,"Huff, Jones and Brown Racing",Angelashire
67,Lucas-Walker Racing,Derrickmouth
68,Valdez Inc Racing,Tracyville
69,"Nichols, Evans and Mitchell Racing",East Danielville
70,Olson-Dixon Racing,Wolfside
71,"Anderson, Daniel and Cox Racing",South Cristinaland
72,"Wright, Garza and Brown Racing",Amystad
73,Santos-Mason Racing,South Jill
74,Wagner-Sanford Racing,Aliciashire
75,"Guerra, Miller and Jenkins Racing",Port Paigeborough
76,"Jackson, Acevedo and Barajas Racing",North Amanda
77,Lowe-Hebert Racing,Port Elizabeth
78,Dougherty PLC Racing,North Michaelburgh
79,"Case, Sullivan and Weaver Racing",New Kathleentown
80,"Hudson, Spears and James Racing",Eduardoville
81,"Nguyen, Smith and Brooks Racing",Elizabethtown
82,Jacobson-Roth Racing,Danielland
83,Simmons LLC Racing,Lake Danielville
84,French-Long Racing,Campbellmouth
85,Miller-Miranda Racing,New Darryl
86,Nolan Inc Racing,Stevenchester
87,"Briggs, Rosales and Rodriguez Racing",Hernandezville
88,Russell LLC Racing,North Maria
89,Collins-Stephenson Racing,Lake Summer
90,Dixon-Allen Racing,Kevinberg
91,"Burke, Herrera and Hawkins Racing",New Kimberly
92,Walton Inc Racing,Michaelchester
93,Decker and Sons Racing,Richardberg
94,"Clark, Gonzalez and Brandt Racing",East Jimmyfurt
95,"Kennedy, Harvey and Shepherd Racing",Wigginsmouth
96,Kelly and Sons Racing,East Alex
97,Bates-Torres Racing,Chapmanmouth
98,"Hudson, Cole and Patterson Racing",Garciastad
99,"Chen, Williamson and Allen Racing",Morrisonport
100,Ryan-Navarro Racing,Sandraberg
101,"Jones, Russell and Garcia Racing",South Anthony
102,"Frazier, Payne and Thompson Racing",Jayburgh
103,Washington-Higgins Racing,Reyesside
104,"Robinson, Williams and Carey Racing",South Kevinmouth
105,"Murray, Turner and Brady Racing",Hurleyland
106,"Carlson, Rush and Brown Racing",North Samantha
107,Olsen-Webb Racing,Baileyside
108,"Walker, Rodriguez and Delacruz Racing",Lindatown
109,Page PLC Racing,New Justinton
110,Johnson Group Racing,Dominiquemouth
111,Freeman PLC Racing,New Ian
112,Huang-Robertson Racing,Anthonybury
113,Garcia and Sons Racing,Cindyshire
114,"Welch, Rivers and Warner Racing",Abigailbury
115,Hinton-Shepard Racing,Jamesburgh
116,Newman PLC Racing,West Devin
117,Stone Ltd Racing,Port Victoria
118,"Villanueva, Brewer and Vasquez Racing",Foleyville
119,"Jones, Rogers and Hicks Racing",West Rebeccaland
120,Bailey Ltd Racing,New Maryberg
121,Golden-Kaiser Racing,Port Virginia
122,Glass-Cooper Racing,East Trevorhaven
123,Marshall Ltd Racing,Kellerport
124,Howell-Flores Racing,West Michaelport
125,Sandoval Ltd Racing,Norrisborough
126,Watkins LLC Racing,Deannastad
127,"Frederick, Patterson and Simmons Racing",East Leah
128,Prince-Adams Racing,Torresstad
129,"Black, Best and Rodriguez Racing",Tylerbury
130,"Bradshaw, Hughes and Daniels Racing",Danielside
131,Decker Inc Racing,Grossfort
132,"Brennan, Owens and Spencer Racing",Mitchellhaven
133,"Bright, Stewart and Jones Racing",Port Abigailview
134,Gomez-Patterson Racing,Jonathanton
135,Mcbride Ltd Racing,Ambershire
136,"Smith, Williams and Finley Racing",Haroldstad
137,Wright-Jenkins Racing,Michaelfurt
138,Torres and Sons Racing,Laurashire
139,Ramsey-Bennett Racing,Willishaven
140,Schmidt Inc Racing,Chadside
141,Anderson-Greene Racing,Martinezberg
142,"Rodriguez, Reed and Rojas Racing",Travisville
143,"Cohen, Mccoy and Garza Racing",Joshuaport
144,Brown-Christian Racing,Lake Michelle
145,Lynch-Massey Racing,Kathyberg
146,Vance LLC Racing,East Sara
147,Lyons Group Racing,South Patricia
148,Davis-Roberts Racing,South Jennifer
149,Shah-Chase Racing,North William
150,"Lee, Collins and Flores Racing",Jessicaview
151,"Mcdonald, Dalton and Thomas Racing",Andrewview
152,Foley Inc Racing,East Joseph
153,"Graham, Hughes and Norris Racing",Port Carlaton
154,Donovan Group Racing,South Michaelchester
155,Gates Inc Racing,North Markburgh
156,"Reynolds, Lynch and Anderson Racing",South Matthewberg
157,King PLC Racing,Port Antoniomouth
158,"Jones, Anderson and Rios Racing",Port Mauricemouth
159,Murray-Parker Racing,Adkinsville
160,Mercer Inc Racing,Kevinchester
161,"King, Wilson and Mason Racing",Mendezbury
162,Long-Ward Racing,North Donnaburgh
163,Frederick-Adams Racing,Jameston
